# Near Earth Asteroid data queried from http://ssd.jpl.nasa.gov/sbdb_query.cgi
# These are the first 1000 NEO Asteroids, numbered and unnumbered.
#name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,class
Cadmus,2.535630061963341,.6978547470358439,17.80698442708557,57.76230452014651,93.73569715700761,.7661285864954324,4.305131537431249,4.03772782168737,11701,0,750,,,15.4,APO
,2.723890180486671,.5594355386449511,16.33166834238325,308.5443286064851,337.9189847696313,1.200049210156417,4.247731150816925,4.495651041801,6634,0,105,,,18.4,AMO
,1.771124477981575,.4841071611059724,15.20882243838306,61.42816585204078,232.0967925025679,.9137104349806174,2.628538520982533,2.35712074560698,7710,0,214,0,5,17.0,APO
Saunders,2.307013011343173,.4791236610660291,7.168042871865921,174.5727592632294,181.1350074575324,1.201668491221467,3.412357531464878,3.50415467701786,10247,0,583,,,18.7,AMO
,1.841925498357835,.5067217785409419,5.420015129255537,294.8733461864269,173.3481379611124,.9085817338900418,2.775269262825627,2.49986348114931,7974,0,952,8,3,16.7,APO
,1.35569258893229,.391042432859135,7.261934656730396,133.157694026644,336.5594195210139,.8255592607471078,1.885825917117472,1.5785198049772,9922,0,534,,,17.3,APO
Oze,2.197564315612985,.50282979464555,4.659051591221711,266.079972194095,91.3858362023296,1.092563502072919,3.302565129153051,3.2577713058609,19481,0,983,,,14.4,AMO
,1.56566753775542,.292143665372654,7.088342478634547,88.6687605447114,275.5227263056054,1.108267684520573,2.023067390990266,1.95910414235814,8243,0,252,,,18.0,AMO
Norwan,1.567741840755307,.3168934586270807,9.454119262094013,124.4285950101611,256.7529738422083,1.070934706603971,2.064548974906641,1.96299876353042,11303,0,781,,,17.2,AMO
,1.346235022960646,.3283200922754334,33.48860460521556,117.9023103248153,47.60007323628162,.9042390159977863,1.788231029923505,1.56203057117454,14219,0,502,2,0,16.8,APO
,1.467861416379153,.4815966960939527,3.123057857163881,73.47656169406774,279.9977415600152,.7609442079271632,2.174778624831144,1.77842594140567,8981,0,738,5,6,18.6,APO
,1.12271147340096,.1646566337127893,37.12172690085367,156.8743497928665,249.4516961694202,.9378495815600326,1.307573365241888,1.18962598959315,7020,0,416,0,4,17.4,APO
,2.165507809034762,.5174117001177733,27.17563573521125,102.6964244521223,228.005565103839,1.045048731943771,3.285966886125752,3.18674881897618,6918,0,159,,,17.9,AMO
,2.435835145421315,.6641943793294025,26.07111687201795,165.9500283951565,323.0158979915206,.8179671328594599,4.053703157983171,3.80171924118319,8710,0,845,5,0,15.3,APO
,1.261475405682468,.346359460788305,36.90732700445864,111.2929779532002,349.1294673023795,.8245514643725802,1.698399346992356,1.41685818655216,12755,0,928,2,2,15.3,APO
,2.226791635160652,.4652915889541509,25.16757052072932,134.2299009508668,248.0919790817467,1.19068421696694,3.262899053354363,3.32297882710254,21348,0,417,,,15.4,AMO
Gordonmoore,2.198918098152703,.432214110763348,7.571905272466426,105.5856777882417,146.7714834080787,1.2485146677182,3.149321528587206,3.26078213451412,22647,0,377,,,16.6,AMO
,1.746629457882367,.4557254557671579,1.864652972441325,210.410422897847,114.1579622456242,.9506459521325811,2.542612963632152,2.3083910032672,8481,0,128,6,10,18.7,APO
Akka,1.830165672070428,.4094090299691179,2.023536337891553,232.9660098213615,68.07729787423914,1.080879319585295,2.579452024555561,2.4759610590161,7506,0,509,,,17.9,AMO
,1.341541682803314,.4620896207291869,28.30567975454202,185.6516210791715,6.035949117595576,.7216291954043355,1.961454170202293,1.55386920182413,7294,0,446,,,17.3,APO
,1.986565655555939,.4178402426063832,5.907766533483225,22.49032850668424,105.6485145190915,1.156498580084937,2.816632731026941,2.80002936970462,12479,0,538,,,16.6,AMO
,1.574941082253496,.6428308223191562,39.62041265989728,66.6156437681384,241.8181726595473,.5625204112442594,2.587361753262734,1.9765357312578,7832,0,542,,,17.1,APO
,2.537485850664214,.7068659747073279,9.553822293497031,164.1410641954419,25.08104895617021,.7438234415284012,4.331148259800027,4.04216135912321,10306,0,539,0,1,16.3,APO
,1.686826938625817,.5949136862620175,14.58560466585972,317.4528263386865,345.657670985613,.6833105064818583,2.690343370769776,2.19085681258134,8053,0,169,,,17.8,APO
,1.506459388412875,.4305568496985877,37.96300066985275,164.1660511388601,125.098501096824,.8578429799389662,2.155075796886783,1.84903164864095,10228,0,563,,,16.5,APO
,2.045712003807049,.4486767115054489,8.436939028599381,177.1753755885182,177.0711313400084,1.12784866925168,2.963575338362419,2.92600418225347,21221,0,2740,6,6,15.3,AMO
Kadlu,2.52861467943814,.488775000366131,3.514415859826689,119.2657612627332,153.5774918901995,1.292691038569959,3.764538320306321,4.02098251413956,7735,0,298,,,16.9,AMO
,1.556581708588286,.3595258804537677,16.07912959520046,218.3845139104887,306.9480530030964,.9969502993098527,2.11621311786672,1.94207539658336,7560,0,186,,,17.8,APO
Kwiila,1.496082243868067,.595450878535063,9.014735852234137,180.15697336,235.6473499796461,.6052387573961183,2.386925730340016,1.82995919216815,9071,0,332,,,18.3,APO
Abhramu,2.704770853066635,.5539396208925809,7.84771109000059,287.7202050233439,74.1267942905983,1.206491112117601,4.20305059401567,4.4484008895588,8641,0,201,,,16.5,AMO
